类别总数: 23
特征总数: 41
label
smurf.      573.221624
neptune.    218.849101
normal.     198.590161
other         9.339115
Name: count, dtype: float64
聚类中心:
[-56.32759474 -19.62272336]
[-32.05658738  74.78359344]
[97.01772971 -8.67208604]
聚类结果:
第 0 类:
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-55.27875933 -19.55982499]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-55.27875933 -19.55982499]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-55.27875933 -19.55982499]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-56.52140624 -19.57397822]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-59.00670006 -19.60228466]
[-57.76405315 -19.58813144]
